error,feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
,1,31.15585509617813,0.0,264,lightgbm,1.0494981464606048,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.06468337623562428, ""max_depth"": 14, ""min_child_samples"": 170, ""min_split_gain"": 0.14586056944883663, ""n_estimators"": 3639, ""num_leaves"": 255, ""reg_alpha"": 0.0004936539527043494, ""reg_lambda"": 0.3860325209115915, ""subsample"": 0.9119208310702654, ""subsample_freq"": 1}",refine,ok,0.4682358963248313,14,0.9994982243227444,0.0025366778668618386,0.9999984427572103,0.9997840827196799,0.9992125293444254
,1,34.899189222138375,0.0,620,lightgbm,1.049499566224686,"{""colsample_bytree"": 0.9820708655280045, ""learning_rate"": 0.03866334049024813, ""max_depth"": 10, ""min_child_samples"": 243, ""min_split_gain"": 0.0, ""n_estimators"": 3232, ""num_leaves"": 195, ""reg_alpha"": 8.232278218006176e-05, ""reg_lambda"": 0.13216118232814092, ""subsample"": 0.9064730354397906, ""subsample_freq"": 1}",refine,ok,0.4547328886500433,15,0.9994996443724147,0.002628164609601118,0.9999984370454242,0.9997762996565208,0.9992231421564951
,1,42.49397881515324,0.0,962,lightgbm,1.049493889231583,"{""colsample_bytree"": 0.8243904552897605, ""learning_rate"": 0.0544036834855832, ""max_depth"": 6, ""min_child_samples"": 156, ""min_split_gain"": 0.24749162316955978, ""n_estimators"": 3565, ""num_leaves"": 249, ""reg_alpha"": 0.00025579637851713856, ""reg_lambda"": 0.2226471314343277, ""subsample"": 0.8848444257961644, ""subsample_freq"": 1}",refine,ok,0.5020219187371491,16,0.9994939701053108,0.0024036062410592502,0.9999983825254433,0.9997954031548975,0.9991927187618952
,1,37.228711236966774,0.0,270,lightgbm,1.0495016676757107,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.047795774284665644, ""max_depth"": -1, ""min_child_samples"": 217, ""min_split_gain"": 0.0, ""n_estimators"": 4201, ""num_leaves"": 226, ""reg_alpha"": 0.0006179147121079216, ""reg_lambda"": 0.12759799180582795, ""subsample"": 0.8679170046032096, ""subsample_freq"": 1}",refine,ok,0.5027870573234251,17,0.9995017477753817,0.0021374629894540735,0.9999983980065802,0.9998180520668436,0.9991856435538486
,1,23.057975883129984,0.0,345,lightgbm,1.0495059178885464,"{""colsample_bytree"": 0.9333553783817664, ""learning_rate"": 0.06900083426051346, ""max_depth"": 10, ""min_child_samples"": 193, ""min_split_gain"": 0.10883354696254588, ""n_estimators"": 2671, ""num_leaves"": 257, ""reg_alpha"": 0.00019960461180115917, ""reg_lambda"": 0.11511059625293715, ""subsample"": 0.837657088286614, ""subsample_freq"": 1}",refine,ok,0.48888080991753124,18,0.9995059959913486,0.0021291460128414117,0.9999984379439542,0.9998187613185681,0.9991934262826998
,1,39.58851300505921,0.0,,complex_mlp,1.0479874803069578,"{""batch_size"": 32768, ""depth"": 2, ""dropout"": 0.1004621893438888, ""lr"": 0.0008304634733631665, ""weight_decay"": 0.00019701333851610038, ""width"": 512}",coarse,ok,0.05452090874314308,1,0.9979933821289139,0.00645397385142553,0.9998819635608774,0.9994493618700125,0.9965416383068744
,1,38.965470758033916,0.0,,complex_mlp,1.0474224478032497,"{""batch_size"": 32768, ""depth"": 4, ""dropout"": 0.15202732731492924, ""lr"": 0.00010423452106864345, ""weight_decay"": 1.2876850879022931e-06, ""width"": 256}",coarse,ok,0.09142081439495087,2,0.9974264400837098,0.0029275757676569415,0.9999201543907955,0.9997497924414571,0.9951138613230922
,1,40.73309200908989,0.0,,complex_mlp,1.0474911130988496,"{""batch_size"": 65536, ""depth"": 4, ""dropout"": 0.14435127175796314, ""lr"": 0.00011665380108400032, ""weight_decay"": 0.00011172932683075452, ""width"": 512}",coarse,ok,0.06747674942016602,3,0.9974954861330179,0.006653581290129412,0.999912539316634,0.9994317858969259,0.9955666746380677
,1,40.99794726097025,0.0,,complex_mlp,1.0472930153776203,"{""batch_size"": 65536, ""depth"": 3, ""dropout"": 0.2345302698932541, ""lr"": 0.00012423644869973165, ""weight_decay"": 5.958800637671682e-05, ""width"": 384}",coarse,ok,0.08209211379289627,4,0.9972990750475597,0.004116903423267574,0.9998788066012133,0.9996481273622561,0.9949610368292879
,1,37.002473125001416,0.0,,complex_mlp,1.0480933663930245,"{""batch_size"": 16384, ""depth"": 4, ""dropout"": 0.12334303294528877, ""lr"": 0.0029241317756628082, ""weight_decay"": 1.970101425503212e-06, ""width"": 384}",coarse,ok,0.04842888563871384,5,0.998094835935546,0.006071392927243089,0.9999706091495688,0.9994820740875281,0.9967114432999903
,1,39.61749885301106,0.0,,complex_mlp,1.047747936212928,"{""batch_size"": 32768, ""depth"": 2, ""dropout"": 0.1135994191008124, ""lr"": 0.00015409470324920016, ""weight_decay"": 9.114008127253205e-07, ""width"": 512}",coarse,ok,0.06422457098960876,6,0.9977504434784303,0.004241658072457501,0.9999498546899543,0.9996377992683545,0.9958702010632623
,1,38.9448519020807,0.0,,complex_mlp,1.0478112169373885,"{""batch_size"": 32768, ""depth"": 3, ""dropout"": 0.30573599118855943, ""lr"": 0.0007510584225717058, ""weight_decay"": 7.615650106611877e-05, ""width"": 256}",coarse,ok,0.06828389316797256,7,0.9978133736182057,0.002653115539439103,0.9999568663836561,0.9997734141655213,0.9958610032928018
