attack_method,epsilon,scope,protocol_hint,rows,l0_mean,l0_median,l0_p95,l2_mean,l2_median,l2_p95,linf_mean,linf_median,linf_p95,l2_norm_mean,l2_norm_median,l2_norm_p95,linf_norm_mean,linf_norm_median,linf_norm_p95,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs
surrogate_fgsm,0.02,protocol,wifi,25000,17.01792,17.0,20.0,449492.1610104244,451268.71343447024,451270.05521935615,448912.66681773576,451168.0,451168.0,0.041655264252972536,0.023491007889048694,0.023735124184034687,0.030840939083580828,0.016990977709266802,0.016990977709266802,0,0,0,0.0
surrogate_fgsm,0.05,global,,75000,16.718026666666667,17.0,21.0,1420849.2892825366,1128171.7401610133,2823073.062348659,1419450.019567866,1127920.0,2822992.0,0.491820109738955,0.05897848622716677,1.584301928818638,0.38143855157368506,0.04247746381547063,1.0,0,0,0,0.0
surrogate_fgsm,0.05,protocol,bluetooth,25000,12.9992,13.0,13.0,341649.76464455965,353583.5277920256,353583.68055685837,341333.72484375,353256.34375,353256.5,1.249512819621895,1.1681741282549454,1.5849635888972498,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_fgsm,0.05,protocol,mqtt,25000,20.13696,21.0,21.0,2802443.4939589924,2823071.768944229,2823073.0696602412,2799206.052689378,2822992.0,2822992.0,0.15341502333707926,0.057264464228169776,0.14156843587337342,0.10424566208838981,0.025350922211482146,0.11533341193064758,0,0,0,0.0
surrogate_fgsm,0.05,protocol,wifi,25000,17.01792,17.0,20.0,1118454.6092440572,1128171.742796196,1128175.1380483888,1117810.2811704702,1127920.0,1127920.0,0.07253248625789094,0.058716839914495736,0.059327526355815646,0.05072935133110937,0.04247746381547063,0.04247746381547063,0,0,0,0.0
surrogate_fgsm,0.1,global,,75000,16.718026666666667,17.0,21.0,2826829.408791518,2256343.4725469192,5646146.121027075,2825096.2509340122,2255840.0,5645984.0,0.5264824488123949,0.11582307169681755,1.5857117356962205,0.4000990261208863,0.08196636222363274,1.0,0,0,0,0.0
surrogate_fgsm,0.1,protocol,bluetooth,25000,12.9992,13.0,13.0,662601.6555565286,707167.0343036657,707167.0967458353,661990.32670375,706512.6875,706512.75,1.2519037291128567,1.1707329773664548,1.5867997000589604,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_fgsm,0.1,protocol,mqtt,25000,20.13696,21.0,21.0,5584043.606238656,5646143.536768671,5646146.122785165,5580427.878582425,5645984.0,5645984.0,0.2040282202815986,0.10980980822350819,0.16826324808684084,0.12792857517813147,0.05070184424068446,0.11533341193064758,0,0,0,0.0
surrogate_fgsm,0.1,protocol,wifi,25000,17.01792,17.0,20.0,2233842.964579368,2256343.473945869,2256350.276095728,2232870.5475158608,2255840.0,2255840.0,0.12351539704272901,0.11582307112087445,0.1186527827230693,0.08302786188297169,0.08196636222363274,0.08495488854633403,0,0,0,0.0
surrogate_pgd,0.0,global,,75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127248,10516,0,0.0
surrogate_pgd,0.0,protocol,bluetooth,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125240,4424,0,0.0
surrogate_pgd,0.0,protocol,mqtt,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334,5175,0,0.0
surrogate_pgd,0.0,protocol,wifi,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674,917,0,0.0
surrogate_pgd,0.01,global,,75000,16.718066666666665,17.0,21.0,292392.80955065787,225634.37354587644,564616.2250705461,291752.85831682436,225584.0,564600.0,0.4636599322496446,0.011795692792778282,1.5837644867230047,0.3663377668531468,0.008495508396937017,1.0,0,0,0,0.0
surrogate_pgd,0.01,protocol,bluetooth,25000,12.99932,13.0,13.0,70037.18229706018,70716.74403547443,70716.98183732592,69971.98121546875,70651.25,70651.5,1.248757306049342,1.1673725375617796,1.584386501451822,0.9893406413015557,0.9819495057090252,1.0,0,0,0,0.0
surrogate_pgd,0.01,protocol,mqtt,25000,20.13696,21.0,21.0,580427.3978584224,564615.9570215594,564616.290844518,579242.3996997882,564600.0,564600.0,0.11082749399150402,0.011776263289209402,0.1309298793354194,0.08542661392414404,0.005070184424068446,0.11533341193064758,0,0,0,0.0
surrogate_pgd,0.01,protocol,wifi,25000,17.01792,17.0,20.0,226713.8484964911,225634.38584800356,225635.02760967638,226044.1940352162,225584.0,225584.0,0.03139499670808775,0.011795692722087756,0.011918776888119497,0.024246045333740585,0.008495508396937017,0.008495508396937017,0,0,0,0.0
surrogate_pgd,0.02,global,,75000,16.718066666666665,17.0,21.0,574649.0101467365,451268.70703756367,1129232.430357873,573894.8834506785,451168.0,1129200.0,0.4707112018526487,0.023591391512445537,1.5838343670705883,0.37009960373831763,0.016990977709266802,1.0,0,0,0,0.0
