iter	Passed	Remaining
1090	19924	7469
1091	19943	7451
1092	19960	7432
1093	19979	7414
1094	19997	7396
1095	20014	7377
1096	20032	7359
1097	20051	7341
1098	20068	7322
1099	20090	7305
1100	20109	7287
1101	20125	7268
1102	20142	7249
1103	20158	7230
1104	20177	7212
1105	20196	7194
1106	20213	7175
1107	20229	7156
1108	20248	7138
1109	20268	7121
1110	20289	7103
1111	20306	7085
1112	20322	7066
1113	20340	7047
1114	20357	7029
1115	20380	7012
1116	20396	6993
1117	20412	6974
1118	20428	6955
1119	20444	6936
1120	20469	6920
1121	20489	6902
1122	20508	6884
1123	20524	6865
1124	20547	6849
1125	20568	6831
1126	20585	6813
1127	20603	6794
1128	20625	6777
1129	20643	6759
1130	20661	6740
1131	20678	6722
1132	20694	6703
1133	20713	6685
1134	20730	6666
1135	20747	6648
1136	20772	6631
1137	20788	6612
1138	20804	6593
1139	20823	6575
1140	20841	6557
1141	20861	6539
1142	20877	6520
1143	20893	6501
1144	20910	6483
1145	20932	6465
1146	20950	6447
1147	20967	6428
1148	20986	6410
1149	21002	6391
1150	21020	6373
1151	21041	6356
1152	21058	6337
1153	21079	6320
1154	21095	6301
1155	21116	6283
1156	21132	6264
1157	21148	6245
1158	21164	6227
1159	21181	6208
1160	21204	6191
1161	21224	6173
1162	21245	6156
1163	21261	6137
1164	21278	6118
1165	21297	6100
1166	21314	6081
1167	21331	6063
1168	21347	6044
1169	21362	6025
1170	21381	6007
1171	21402	5989
1172	21419	5971
1173	21437	5952
1174	21455	5934
1175	21474	5916
1176	21491	5897
1177	21509	5879
1178	21525	5860
1179	21542	5842
1180	21560	5823
1181	21577	5805
1182	21594	5786
1183	21612	5768
1184	21629	5749
1185	21651	5732
1186	21670	5714
1187	21686	5695
1188	21702	5676
1189	21720	5658
1190	21739	5640
1191	21758	5622
1192	21776	5603
1193	21792	5585
1194	21809	5566
1195	21827	5548
1196	21852	5531
1197	21868	5512
1198	21886	5494
1199	21902	5475
1200	21926	5458
1201	21943	5440
1202	21959	5421
1203	21980	5403
1204	21998	5385
1205	22015	5366
1206	22032	5348
1207	22050	5330
1208	22067	5311
1209	22086	5293
1210	22105	5275
1211	22123	5257
1212	22143	5239
1213	22159	5220
1214	22178	5202
1215	22197	5184
1216	22217	5166
1217	22241	5149
1218	22261	5131
1219	22283	5114
1220	22300	5095
1221	22317	5077
1222	22335	5058
1223	22354	5040
1224	22371	5022
1225	22388	5003
1226	22406	4985
1227	22427	4967
1228	22449	4950
1229	22466	4931
1230	22484	4913
1231	22500	4894
1232	22516	4875
1233	22534	4857
1234	22550	4838
1235	22569	4820
1236	22591	4803
1237	22607	4784
1238	22627	4766
1239	22648	4748
1240	22666	4730
1241	22684	4712
1242	22701	4693
1243	22717	4675
1244	22733	4656
1245	22753	4638
1246	22769	4619
1247	22786	4601
1248	22810	4583
1249	22830	4566
1250	22848	4547
1251	22863	4528
1252	22880	4510
1253	22896	4491
1254	22913	4473
1255	22932	4455
1256	22950	4436
1257	22967	4418
1258	22986	4400
1259	23005	4382
1260	23023	4363
1261	23039	4345
1262	23055	4326
1263	23072	4307
1264	23090	4289
1265	23107	4271
1266	23124	4252
1267	23143	4234
1268	23165	4216
1269	23183	4198
1270	23200	4180
1271	23216	4161
1272	23238	4143
1273	23255	4125
1274	23275	4107
1275	23293	4089
1276	23314	4071
1277	23337	4053
1278	23357	4035
1279	23378	4018
1280	23395	3999
1281	23412	3981
1282	23428	3962
1283	23444	3943
1284	23460	3925
1285	23479	3907
1286	23497	3888
1287	23517	3870
1288	23534	3852
1289	23551	3833
1290	23568	3815
1291	23589	3797
1292	23607	3779
1293	23624	3760
1294	23646	3743
1295	23663	3724
1296	23682	3706
1297	23699	3688
1298	23715	3669
1299	23734	3651
1300	23756	3633
1301	23774	3615
1302	23791	3597
1303	23809	3578
1304	23828	3560
1305	23846	3542
1306	23870	3524
1307	23887	3506
1308	23903	3487
1309	23922	3469
1310	23940	3451
1311	23956	3432
1312	23976	3414
1313	23993	3396
1314	24010	3377
1315	24028	3359
1316	24044	3341
1317	24060	3322
1318	24076	3303
1319	24093	3285
1320	24111	3267
1321	24130	3248
1322	24151	3231
1323	24168	3212
1324	24188	3194
1325	24207	3176
1326	24228	3158
1327	24244	3140
1328	24263	3121
1329	24281	3103
1330	24299	3085
1331	24318	3067
1332	24336	3048
1333	24354	3030
1334	24370	3012
